date,delay,distance,origin,destination
01131101,0,420,Berlin Südkreuz,Frankfurt(Main)Hbf
01130753,0,363,Kiel Hbf,Leipzig Hbf
01131026,0,588,Berlin Ostbahnhof,Schiphol (Airport)
01130937,0,479,Berlin Ostbahnhof,Köln Hbf
01130937,0,471,Berlin Ostbahnhof,Köln/Bonn Flughafen
01130614,0,820,Hamburg-Altona,Villach Hbf
01130837,0,584,Berlin Hbf,Schiphol (Airport)
01130554,0,562,Dresden Hbf,Westerland(Sylt)
01130651,0,296,Leipzig Hbf,Hamburg-Altona
01130442,0,241,Erfurt Hbf,Berlin-Lichtenberg
01130558,0,526,Cottbus,Norddeich Mole
01130640,0,522,Berlin Hbf,Warszawa Wschodnia
01130626,0,588,Berlin Ostbahnhof,Schiphol (Airport)
01130546,0,259,Berlin Südkreuz,Hamburg-Altona
01130527,0,478,Berlin Ostbahnhof,Düsseldorf Hbf
01130411,0,479,Berlin Ostbahnhof,Köln Hbf
01130550,0,715,Wien Praterstern,Stralsund Hbf
01131432,0,371,Szczecin Glowny,Praha hl.n.
01130811,0,592,Frankfurt(M) Flughafen,Ostseebad Binz
01131532,0,464,Hamburg-Altona,Nürnberg Hbf
01131914,0,434,Bremen Hbf,Nürnberg Hbf
01131847,0,464,Hamburg-Altona,Nürnberg Hbf
01131510,0,566,Budapest-Keleti pu,München Hbf
01131036,0,98,Innsbruck Hbf,München Hbf
01132251,0,306,Venezia Santa Lucia,München Hbf
01131841,0,492,Essen Hbf,München Hbf
01131238,0,678,Kiel Hbf,Passau Hbf
01131747,0,612,Hamburg-Altona,München Hbf
01131753,0,492,Essen Hbf,München Hbf
01131721,0,484,Düsseldorf Hbf,München Hbf
01131553,0,492,Essen Hbf,München Hbf
01131440,0,735,Wien Westbahnhof,Dortmund Hbf
01131453,0,492,Essen Hbf,München Hbf
01131339,0,612,Hamburg-Altona,München Hbf
01131324,0,477,Dortmund Hbf,München Hbf
01131253,0,492,Essen Hbf,München Hbf
01131227,0,455,Köln Hbf,München Hbf
01131040,0,735,Wien Westbahnhof,Dortmund Hbf
01130744,0,694,Stralsund Hbf,München Hbf
01130947,0,612,Hamburg-Altona,München Hbf
01130637,0,287,Darmstadt Hbf,München Hbf
01131019,0,455,Köln Hbf,München Hbf
01130816,0,640,Lübeck Hbf,München Hbf
01130840,0,492,Essen Hbf,München Hbf
01130747,0,745,Hamburg-Altona,Wien Westbahnhof
01130636,0,477,Dortmund Hbf,München Hbf
01130633,0,507,Berlin Gesundbrunnen,München Hbf
01130624,0,477,Dortmund Hbf,München Hbf
01130541,0,612,Hamburg-Altona,München Hbf
01130524,0,477,Dortmund Hbf,München Hbf
01130430,0,507,Berlin Gesundbrunnen,München Hbf
01130422,0,455,Köln Hbf,München Hbf
01130628,0,226,Lichtenfels,München Hbf
01130320,0,455,Köln Hbf,München Hbf
01131150,0,492,München Hbf,Essen Hbf
01131050,0,455,München Hbf,Köln Hbf
01131016,0,612,München Hbf,Hamburg-Altona
01130931,0,404,München Hbf,Bologna Centrale
01130927,0,566,München Hbf,Budapest-Keleti pu
01130728,0,707,Innsbruck Hbf,Hamburg-Altona
01130850,0,455,München Hbf,Köln Hbf
01130816,0,612,München Hbf,Hamburg-Altona
01130750,0,492,München Hbf,Essen Hbf
01130727,0,566,München Hbf,Budapest-Keleti pu
01130716,0,612,München Hbf,Hamburg-Altona
01130650,0,477,München Hbf,Dortmund Hbf
01130614,0,612,München Hbf,Hamburg-Altona
01130514,0,583,München Hbf,Bremen Hbf
01131816,0,241,Zürich HB,München Hbf
01131633,0,241,München Hbf,Zürich HB
01131316,0,241,Zürich HB,München Hbf
01131233,0,241,München Hbf,Zürich HB
01130916,0,241,Zürich HB,München Hbf
01130926,0,115,Oberstdorf,Augsburg Hbf
01130717,0,241,München Hbf,Zürich HB
01132150,0,614,München Ost,Hamburg-Altona
01131647,0,612,Hamburg-Altona,München Hbf
01131714,0,583,Bremen Hbf,München Hbf
01131447,0,612,Hamburg-Altona,München Hbf
01131514,0,583,Bremen Hbf,München Hbf
01131344,0,507,Berlin Gesundbrunnen,München Hbf
01131314,0,583,Bremen Hbf,München Hbf
01131742,0,507,München Hbf,Berlin Gesundbrunnen
01131706,0,612,München Hbf,Hamburg-Altona
01131641,0,149,München Hbf,Nürnberg Hbf
01131539,0,507,München Hbf,Berlin Gesundbrunnen
01130658,0,672,Warnemünde,München Hbf
01131449,0,507,München Hbf,Berlin Gesundbrunnen
01130831,0,507,Berlin Gesundbrunnen,München Hbf
01130546,0,612,Hamburg-Altona,München Hbf
01131356,0,115,Augsburg Hbf,Oberstdorf
01131239,0,612,München Hbf,Hamburg-Altona
01131119,0,672,München Hbf,Warnemünde
01131047,0,583,München Hbf,Bremen Hbf
01130440,0,612,Hamburg-Altona,München Hbf
01130710,0,507,München Hbf,Berlin Gesundbrunnen
01130616,0,149,Nürnberg Hbf,München Hbf
01130654,0,583,München Hbf,Bremen Hbf
01130547,0,149,Nürnberg Hbf,München Hbf
01130532,0,56,Augsburg Hbf,München Hbf
01130437,0,507,München Hbf,Berlin Gesundbrunnen
01131126,0,754,Flensburg,München Hbf
01130836,0,693,Berchtesgaden Hbf,Hamburg-Altona
01130714,0,693,Hamburg-Altona,Berchtesgaden Hbf
01131819,0,527,Berlin Ostbahnhof,Karlsruhe Hbf
01131754,0,511,Berlin Ostbahnhof,Stuttgart Hbf
01131553,0,520,Dresden Hbf,Saarbrücken Hbf
01131837,0,477,Dortmund Hbf,München Hbf
01131137,0,670,Graz Hbf,Saarbrücken Hbf
01132152,0,259,Hamburg-Altona,Berlin Südkreuz
01132112,0,131,Hamburg-Altona,Hannover Hbf
01131300,0,259,Hamburg-Altona,Berlin Südkreuz
01131810,0,621,Koebenhavn H,Amsterdam Centraal
01131810,0,968,Koebenhavn H,Basel SBB
01131243,0,401,Köln Hbf,Paris Nord
01130844,0,401,Köln Hbf,Paris Nord
01130601,0,401,Paris Nord,Köln Hbf
01131643,0,337,Koblenz Hbf,Emden Hbf
01130620,0,426,Luxembourg,Emden Hbf
01132112,0,614,Hamburg-Altona,München Ost
01131812,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01131848,0,479,Köln Hbf,Berlin Ostbahnhof
01131748,0,479,Köln Hbf,Berlin Ostbahnhof
01131753,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01131548,0,479,Köln Hbf,Berlin Ostbahnhof
01131553,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01131154,0,537,Aachen Hbf,Berlin Südkreuz
01131222,0,480,Bonn Hbf,Berlin Ostbahnhof
01131139,0,473,Köln Hbf,Berlin Südkreuz
01131153,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01131012,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01131048,0,479,Köln Hbf,Berlin Ostbahnhof
01130928,0,479,Köln Hbf,Berlin Ostbahnhof
01130828,0,479,Köln Hbf,Berlin Ostbahnhof
01130712,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01130626,0,479,Köln Hbf,Berlin Ostbahnhof
01130529,0,479,Köln Hbf,Berlin Ostbahnhof
01130745,0,100,Hannover Hbf,Bremen Hbf
01130429,0,479,Köln Hbf,Berlin Ostbahnhof
01130538,0,400,Münster(Westf)Hbf,Berlin Ostbahnhof
01131346,0,298,Köln Hbf,Norddeich Mole
01130820,0,453,Luxembourg,Norddeich Mole
01131354,0,365,Norddeich Mole,Koblenz Hbf
01131136,0,453,Norddeich Mole,Luxembourg
01130953,0,453,Norddeich Mole,Luxembourg
01131714,0,131,Hamburg-Altona,Hannover Hbf
01130510,0,131,Hamburg-Altona,Hannover Hbf
01131832,0,391,Hamburg-Altona,Koblenz Hbf
01131637,0,440,Lübeck Hbf,Frankfurt(Main)Hbf
01131853,0,312,Dresden Hbf,Hannover Hbf
01131935,0,256,Oldenburg(Oldb),Magdeburg Hbf
01131623,0,443,Dresden Hbf,Oldenburg(Oldb)
01131513,0,381,Köln Hbf,Leipzig Hbf
01131640,0,381,Leipzig Hbf,Köln Hbf
01131535,0,347,Oldenburg(Oldb),Leipzig Hbf
01131423,0,443,Dresden Hbf,Oldenburg(Oldb)
01131313,0,381,Köln Hbf,Leipzig Hbf
01131440,0,381,Leipzig Hbf,Köln Hbf
01131510,0,215,Hannover Hbf,Leipzig Hbf
01131113,0,381,Köln Hbf,Leipzig Hbf
01131231,0,347,Oldenburg(Oldb),Leipzig Hbf
01131140,0,347,Leipzig Hbf,Oldenburg(Oldb)
01130913,0,381,Köln Hbf,Leipzig Hbf
01131040,0,381,Leipzig Hbf,Köln Hbf
01130713,0,381,Köln Hbf,Leipzig Hbf
01130735,0,347,Oldenburg(Oldb),Leipzig Hbf
01130510,0,381,Köln Hbf,Leipzig Hbf
01130639,0,381,Leipzig Hbf,Köln Hbf
01130636,0,215,Hannover Hbf,Leipzig Hbf
01130507,0,312,Hannover Hbf,Dresden Hbf
01130527,0,251,Hannover Hbf,Berlin Ostbahnhof
01130503,0,256,Magdeburg Hbf,Oldenburg(Oldb)
01131650,0,584,Schiphol (Airport),Berlin Hbf
01131450,0,588,Schiphol (Airport),Berlin Ostbahnhof
01131250,0,588,Schiphol (Airport),Berlin Ostbahnhof
01131050,0,588,Schiphol (Airport),Berlin Ostbahnhof
01130850,0,588,Schiphol (Airport),Berlin Ostbahnhof
01130650,0,588,Schiphol (Airport),Berlin Ostbahnhof
01130640,0,338,Hannover Hbf,Schiphol (Airport)
01130721,0,426,Bad Bentheim,Berlin Ostbahnhof
01131340,0,435,Leipzig Hbf,Norddeich Mole
01131537,0,435,Norddeich Mole,Leipzig Hbf
01130548,0,224,Göttingen,Hamburg-Altona
01131940,0,259,Hamburg-Altona,Berlin Südkreuz
01131201,0,365,Flensburg,Berlin Südkreuz
01130606,0,608,Koblenz Hbf,Ostseebad Binz
01130555,0,341,Hannover Hbf,Ostseebad Binz
01130458,0,155,Rostock Hbf,Hamburg-Altona
01131728,0,139,Köln Hbf,Mainz Hbf
01130607,0,139,Mainz Hbf,Köln Hbf
01131909,0,393,Hamburg-Altona,Frankfurt(Main)Hbf
01130643,0,304,Kassel-Wilhelmshöhe,Berlin Ostbahnhof
01131753,0,373,Dresden Hbf,Frankfurt(Main)Hbf
01131541,0,296,Leipzig Hbf,Frankfurt(Main)Hbf
01131023,0,380,Dresden Hbf,Frankfurt(M) Flughafen
01130942,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01130747,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01131834,0,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01131634,0,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01131819,0,152,Köln Hbf,Frankfurt(Main)Hbf
01131626,0,198,Oberhausen Hbf,Frankfurt(Main)Hbf
01131811,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01131611,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01131419,0,152,Köln Hbf,Frankfurt(Main)Hbf
01131034,0,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01131411,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01131011,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01130652,0,178,Dortmund Hbf,Frankfurt(Main)Hbf
01130558,0,178,Dortmund Hbf,Frankfurt(Main)Hbf
01130619,0,152,Köln Hbf,Frankfurt(Main)Hbf
01132255,0,455,Köln Hbf,München Hbf
01132324,0,393,Frankfurt(Main)Hbf,Hamburg-Altona
01132023,0,324,Wiesbaden Hbf,Leipzig Hbf
01131553,0,402,Dresden Hbf,Wiesbaden Hbf
01132022,0,296,Frankfurt(Main)Hbf,Leipzig Hbf
01132016,0,152,Frankfurt(Main)Hbf,Köln Hbf
01131929,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01131823,0,402,Wiesbaden Hbf,Dresden Hbf
01131353,0,402,Dresden Hbf,Wiesbaden Hbf
01131717,0,152,Frankfurt(Main)Hbf,Köln Hbf
01131716,0,339,Frankfurt(Main)Hbf,Oldenburg(Oldb)
01131153,0,402,Dresden Hbf,Wiesbaden Hbf
01131629,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01131614,0,296,Frankfurt(Main)Hbf,Leipzig Hbf
01131542,0,393,Frankfurt(Main)Hbf,Hamburg-Altona
01131517,0,296,Frankfurt(Main)Hbf,Leipzig Hbf
01131517,0,152,Frankfurt(Main)Hbf,Köln Hbf
01131502,0,426,Frankfurt(Main)Hbf,Berlin Gesundbrunnen
01131418,0,296,Frankfurt(Main)Hbf,Leipzig Hbf
01131728,0,508,München Hbf,Münster(Westf)Hbf
01131509,0,533,Hamburg-Altona,Stuttgart Hbf
01131637,0,477,Dortmund Hbf,München Hbf
01131628,0,504,München Hbf,Berlin Hbf (tief)
01131740,0,154,Saarbrücken Hbf,Frankfurt(Main)Hbf
01131656,0,485,Frankfurt(Main)Hbf,Paris Est
01131428,0,499,München Hbf,Berlin Südkreuz
01130843,0,739,Klagenfurt Hbf,Dortmund Hbf
01131554,0,154,Frankfurt(Main)Hbf,Saarbrücken Hbf
01131123,0,504,Berlin Ostbahnhof,München Hbf
01131109,0,533,Hamburg-Altona,Stuttgart Hbf
01131446,0,154,Frankfurt(Main)Hbf,Saarbrücken Hbf
01131228,0,504,München Hbf,Berlin Ostbahnhof
01131345,0,168,Saarbrücken Hbf,Stuttgart Hbf
01131128,0,477,München Hbf,Dortmund Hbf
01130923,0,504,Berlin Ostbahnhof,München Hbf
01130909,0,533,Hamburg-Altona,Stuttgart Hbf
01131037,0,477,Dortmund Hbf,München Hbf
01131028,0,504,München Hbf,Berlin Ostbahnhof
01131209,0,528,Stuttgart Hbf,Emden Hbf
01130723,0,504,Berlin Ostbahnhof,München Hbf
01130910,0,485,Paris Est,Frankfurt(Main)Hbf
01130612,0,619,Kiel Hbf,Stuttgart Hbf
01130527,0,612,Hamburg-Altona,München Hbf
01130631,0,766,Münster(Westf)Hbf,Klagenfurt Hbf
01130728,0,477,München Hbf,Dortmund Hbf
01130600,0,499,Berlin Südkreuz,München Hbf
01130927,0,533,Stuttgart Hbf,Hamburg-Altona
01130504,0,533,Hamburg-Altona,Stuttgart Hbf
01130606,0,476,Hamm(Westf),München Hbf
01130527,0,477,München Hbf,Dortmund Hbf
01130331,0,612,Hamburg-Altona,München Hbf
01130818,0,93,Mannheim Hbf,Stuttgart Hbf
01130643,0,520,Saarbrücken Hbf,Dresden Hbf
01130727,0,533,Stuttgart Hbf,Hamburg-Altona
01130555,0,455,Köln Hbf,München Hbf
01130439,0,154,Saarbrücken Hbf,Frankfurt(Main)Hbf
01132106,0,62,Karlsruhe Hbf,Stuttgart Hbf
01131725,0,508,Paris Est,Stuttgart Hbf
01131854,0,508,Stuttgart Hbf,Paris Est
01131525,0,690,Paris Est,München Hbf
01131125,0,508,Paris Est,Stuttgart Hbf
01131254,0,508,Stuttgart Hbf,Paris Est
01130725,0,508,Paris Est,Stuttgart Hbf
01130626,0,690,München Hbf,Paris Est
01130654,0,508,Stuttgart Hbf,Paris Est
01130651,0,604,Karlsruhe Hbf,Kiel Hbf
01130558,0,527,Karlsruhe Hbf,Berlin Ostbahnhof
01130521,0,125,Karlsruhe Hbf,Frankfurt(Main)Hbf
01131910,0,163,Zürich HB,Stuttgart Hbf
01131956,0,163,Stuttgart Hbf,Zürich HB
01132037,0,328,Dortmund Hbf,Stuttgart Hbf
01131937,0,288,Stuttgart Hbf,Köln Hbf
01131159,0,505,Berlin Südkreuz,Stuttgart Hbf
01130926,0,684,Westerland(Sylt),Stuttgart Hbf
01131741,0,328,Stuttgart Hbf,Dortmund Hbf
01130701,0,658,Greifswald,Stuttgart Hbf
01131636,0,158,Stuttgart Hbf,Wiesbaden Hbf
01131605,0,152,Stuttgart Hbf,Frankfurt(Main)Hbf
01131152,0,328,Dortmund Hbf,Stuttgart Hbf
01130832,0,533,Hamburg-Altona,Stuttgart Hbf
01131248,0,168,Saarbrücken Hbf,Stuttgart Hbf
01130621,0,456,Linz Hbf,Frankfurt(Main)Hbf
01130601,0,402,Hannover Hbf,Stuttgart Hbf
01130914,0,505,Stuttgart Hbf,Berlin Südkreuz
01130611,0,288,Köln Hbf,Stuttgart Hbf
01130737,0,658,Stuttgart Hbf,Greifswald
01130619,0,168,Saarbrücken Hbf,Stuttgart Hbf
01130630,0,151,Stuttgart Hbf,Mainz Hbf
01130603,0,152,Stuttgart Hbf,Frankfurt(Main)Hbf
01130520,0,152,Frankfurt(Main)Hbf,Stuttgart Hbf
01130508,0,533,Stuttgart Hbf,Hamburg-Altona
01130601,0,534,Magdeburg Hbf,Oberstdorf
01130947,0,534,Oberstdorf,Magdeburg Hbf
01130639,0,519,Salzburg Hbf,Berlin Südkreuz
01130539,0,304,München Hbf,Frankfurt(Main)Hbf
01132247,0,690,München Hbf,Paris Est
01132247,0,667,München Hbf,Amsterdam Centraal
01132042,0,614,Zürich HB,Amsterdam Centraal
01132042,0,694,Zürich HB,Hamburg-Altona
01131942,0,672,Zürich HB,Berlin-Lichtenberg
01131942,0,527,Zürich HB,Praha hl.n.
01131419,0,692,Berlin Ostbahnhof,Basel SBB
01131900,0,304,Zürich HB,Frankfurt(Main)Hbf
01131655,0,380,Köln Hbf,Basel SBB
01131826,0,968,Basel SBB,Koebenhavn H
01131222,0,761,Berlin Ostbahnhof,Interlaken Ost
01131700,0,694,Zürich HB,Hamburg-Altona
01131019,0,761,Berlin Ostbahnhof,Interlaken Ost
01131512,0,570,Basel SBB,Amsterdam Centraal
01130819,0,692,Berlin Ostbahnhof,Basel SBB
01130804,0,570,Amsterdam Centraal,Basel SBB
01131055,0,380,Köln Hbf,Basel SBB
01131312,0,442,Basel SBB,Dortmund Hbf
01130619,0,761,Berlin Ostbahnhof,Interlaken Ost
01131000,0,761,Interlaken Ost,Berlin Ostbahnhof
01130540,0,559,Hannover Hbf,Basel SBB
01131112,0,380,Basel SBB,Köln Hbf
01130421,0,761,Berlin Ostbahnhof,Interlaken Ost
01130800,0,761,Interlaken Ost,Berlin Ostbahnhof
01130912,0,436,Basel SBB,Essen Hbf
01130650,0,304,Frankfurt(Main)Hbf,Zürich HB
01130600,0,761,Interlaken Ost,Berlin Ostbahnhof
01132257,0,436,Duisburg Hbf,Basel SBB
01131924,0,289,Dortmund Hbf,Karlsruhe Hbf
01131229,0,700,Ostseebad Binz,Karlsruhe Hbf
01130927,0,673,Stralsund Hbf,Karlsruhe Hbf
01131442,0,251,München Hbf,Karlsruhe Hbf
01131710,0,388,Karlsruhe Hbf,Hannover Hbf
01131014,0,518,Hamburg-Altona,Karlsruhe Hbf
01131606,0,367,Karlsruhe Hbf,Salzburg Hbf
01131247,0,251,München Hbf,Karlsruhe Hbf
01131510,0,518,Karlsruhe Hbf,Hamburg-Altona
01131406,0,62,Karlsruhe Hbf,Stuttgart Hbf
01130648,0,251,München Hbf,Karlsruhe Hbf
01130910,0,621,Karlsruhe Hbf,Rostock Hbf
01130741,0,62,Karlsruhe Hbf,Stuttgart Hbf
01130602,0,134,Ulm Hbf,Karlsruhe Hbf
01130545,0,671,Stuttgart Hbf,Stralsund Hbf
01130659,0,62,Karlsruhe Hbf,Stuttgart Hbf
01130559,0,62,Karlsruhe Hbf,Stuttgart Hbf
01130305,0,334,Stuttgart Hbf,Essen Hbf
01132212,0,436,Basel SBB,Duisburg Hbf
01131712,0,773,Kiel Hbf,Basel SBB
01131912,0,442,Basel SBB,Dortmund Hbf
01131648,0,287,München Hbf,Strasbourg
01131712,0,559,Basel SBB,Hannover Hbf
01131641,0,97,Stuttgart Hbf,Offenburg
01131612,0,692,Basel SBB,Berlin Ostbahnhof
01131201,0,228,Munster(Örtze),Berlin Südkreuz
01131951,0,151,Leipzig Hbf,Berlin Gesundbrunnen
01130658,0,238,Eisenach,Dresden Hbf
01130647,0,100,Dresden Hbf,Leipzig Hbf
01131829,0,259,Praha hl.n.,Erfurt Hbf
01132005,0,881,Paris Est,Berlin Südkreuz
01132031,0,735,Amsterdam Centraal,Innsbruck Hbf
01131253,0,459,Flensburg,Köln Hbf
01131614,0,354,Köln Hbf,Hamburg-Altona
01130552,0,130,Dortmund Hbf,Koblenz Hbf
01131901,0,621,Amsterdam Centraal,Koebenhavn H
01131901,0,710,Amsterdam Centraal,Praha hl.n.
01131758,0,438,Paris Nord,Essen Hbf
01131601,0,401,Paris Nord,Köln Hbf
01131642,0,401,Köln Hbf,Paris Nord
01131201,0,401,Paris Nord,Köln Hbf
01130600,0,364,Nürnberg Hbf,Essen Hbf
01130558,0,149,Nürnberg Hbf,München Hbf
01130534,0,464,Nürnberg Hbf,Hamburg-Altona
01130530,0,464,Nürnberg Hbf,Hamburg-Altona
01130622,0,605,Regensburg Hbf,Kiel Hbf
01132255,0,149,München Hbf,Nürnberg Hbf
01132103,0,306,München Hbf,Venezia Santa Lucia
01131432,0,605,Berlin Gesundbrunnen,Innsbruck Hbf
01132050,0,304,München Hbf,Frankfurt(Main)Hbf
01131950,0,477,München Hbf,Dortmund Hbf
01131850,0,477,München Hbf,Dortmund Hbf
01131036,0,707,Hamburg-Altona,Innsbruck Hbf
01131815,0,583,München Hbf,Bremen Hbf
01131749,0,477,München Hbf,Dortmund Hbf
01131716,0,507,München Hbf,Berlin Gesundbrunnen
01131650,0,477,München Hbf,Dortmund Hbf
01131550,0,477,München Hbf,Dortmund Hbf
01131516,0,640,München Hbf,Lübeck Hbf
01131416,0,612,München Hbf,Hamburg-Altona
01131350,0,477,München Hbf,Dortmund Hbf
01131327,0,566,München Hbf,Budapest-Keleti pu
01131316,0,507,München Hbf,Berlin Gesundbrunnen
01131250,0,455,München Hbf,Köln Hbf
01131216,0,612,München Hbf,Hamburg-Altona
01131504,0,688,Basel SBB,Hamburg-Altona
01131116,0,745,Chur,Hamburg-Altona
01131009,0,694,Hamburg-Altona,Zürich HB
01130527,0,788,Stralsund Hbf,Konstanz
01131200,0,694,Zürich HB,Hamburg-Altona
01130712,0,779,Kiel Hbf,Zürich HB
01131000,0,779,Zürich HB,Kiel Hbf
01130428,0,745,Hamburg-Altona,Chur
01130604,0,688,Hamburg-Altona,Basel SBB
01130800,0,779,Zürich HB,Kiel Hbf
01130537,0,442,Dortmund Hbf,Basel SBB
01130712,0,380,Basel SBB,Köln Hbf
01130653,0,287,Strasbourg,München Hbf
01130538,0,384,Frankfurt(Main)Hbf,Interlaken Ost
01130545,0,222,Basel Bad Bf,Mannheim Hbf
01130558,0,97,Offenburg,Stuttgart Hbf
01130556,0,180,Karlsruhe Hbf,Zürich HB
01130727,0,588,Münster(Westf)Hbf,Innsbruck Hbf
01130653,0,602,Salzburg Hbf,Münster(Westf)Hbf
01131906,0,201,Karlsruhe Hbf,Nürnberg Hbf
01131706,0,201,Karlsruhe Hbf,Nürnberg Hbf
01131539,0,201,Nürnberg Hbf,Karlsruhe Hbf
01131339,0,201,Nürnberg Hbf,Karlsruhe Hbf
01131139,0,201,Nürnberg Hbf,Karlsruhe Hbf
01131106,0,201,Karlsruhe Hbf,Nürnberg Hbf
01130939,0,201,Nürnberg Hbf,Karlsruhe Hbf
01130906,0,201,Karlsruhe Hbf,Nürnberg Hbf
01130739,0,201,Nürnberg Hbf,Karlsruhe Hbf
01130605,0,157,Stuttgart Hbf,Nürnberg Hbf
01131129,0,198,Frankfurt(Main)Hbf,Oberhausen Hbf
01141423,0,289,Aarhus,Hamburg Hbf
01140757,0,455,Aarhus,Berlin Ostbahnhof
01140930,0,289,Hamburg Hbf,Aarhus
01141810,5,621,Koebenhavn H,Amsterdam Centraal
01141810,0,635,Koebenhavn H,Praha hl.n.
01141810,0,968,Koebenhavn H,Basel SBB
01141728,0,289,Hamburg Hbf,Koebenhavn H
01141545,0,289,Koebenhavn H,Hamburg Hbf
01141528,0,289,Hamburg Hbf,Koebenhavn H
01141145,0,289,Koebenhavn H,Hamburg Hbf
01140945,0,289,Koebenhavn H,Hamburg Hbf
01140928,0,289,Hamburg Hbf,Koebenhavn H
01140745,0,358,Koebenhavn H,Berlin Ostbahnhof
01142053,0,100,Leipzig Hbf,Dresden Hbf
01141951,0,151,Leipzig Hbf,Berlin Gesundbrunnen
01141703,0,189,Magdeburg Hbf,Dresden Hbf
01141853,0,100,Dresden Hbf,Leipzig Hbf
01140623,0,189,Dresden Hbf,Magdeburg Hbf
01141829,0,259,Praha hl.n.,Erfurt Hbf
01141829,0,527,Praha hl.n.,Zürich HB
01141913,5,73,Köln Hbf,Dortmund Hbf
01142031,0,667,Amsterdam Centraal,München Hbf
01141745,0,122,Köln Hbf,Münster(Westf)Hbf
01142137,0,477,Dortmund Hbf,München Hbf
01141901,0,621,Amsterdam Centraal,Koebenhavn H
01141901,0,710,Amsterdam Centraal,Praha hl.n.
01141758,15,438,Paris Nord,Essen Hbf
01140620,0,453,Luxembourg,Norddeich Mole
01141136,0,453,Norddeich Mole,Luxembourg
01140746,0,298,Köln Hbf,Norddeich Mole
01140953,0,453,Norddeich Mole,Luxembourg
01140834,0,270,Emden Hbf,Köln Hbf
01141838,0,432,Kiel Hbf,Köln Hbf
01141832,5,391,Hamburg-Altona,Koblenz Hbf
01141732,0,391,Hamburg-Altona,Koblenz Hbf
01141714,0,100,Bremen Hbf,Hannover Hbf
01141514,0,100,Bremen Hbf,Hannover Hbf
01141314,0,100,Bremen Hbf,Hannover Hbf
01141114,0,100,Bremen Hbf,Hannover Hbf
01140609,20,432,Köln Hbf,Kiel Hbf
01140914,0,100,Bremen Hbf,Hannover Hbf
01140510,5,354,Köln Hbf,Hamburg-Altona
01140641,0,133,Oldenburg(Oldb),Hannover Hbf
01141735,0,443,Oldenburg(Oldb),Dresden Hbf
01141623,0,406,Dresden Hbf,Bremen Hbf
01141535,0,347,Oldenburg(Oldb),Leipzig Hbf
01141423,0,443,Dresden Hbf,Oldenburg(Oldb)
01141113,0,381,Köln Hbf,Leipzig Hbf
01141240,0,381,Leipzig Hbf,Köln Hbf
01141135,0,347,Oldenburg(Oldb),Leipzig Hbf
01141140,0,347,Leipzig Hbf,Oldenburg(Oldb)
01140913,0,381,Köln Hbf,Leipzig Hbf
01141040,0,381,Leipzig Hbf,Köln Hbf
01140823,5,443,Dresden Hbf,Oldenburg(Oldb)
01140713,0,381,Köln Hbf,Leipzig Hbf
01140840,0,381,Leipzig Hbf,Köln Hbf
01140735,0,347,Oldenburg(Oldb),Leipzig Hbf
01140510,0,381,Köln Hbf,Leipzig Hbf
01140639,0,381,Leipzig Hbf,Köln Hbf
01140535,0,443,Oldenburg(Oldb),Dresden Hbf
01140507,0,312,Hannover Hbf,Dresden Hbf
01140503,0,256,Magdeburg Hbf,Oldenburg(Oldb)
01141450,0,588,Schiphol (Airport),Berlin Ostbahnhof
01141250,60,588,Schiphol (Airport),Berlin Ostbahnhof
01141050,0,588,Schiphol (Airport),Berlin Ostbahnhof
01140850,0,588,Schiphol (Airport),Berlin Ostbahnhof
01140650,0,588,Schiphol (Airport),Berlin Ostbahnhof
01140640,0,338,Hannover Hbf,Schiphol (Airport)
01140721,0,426,Bad Bentheim,Berlin Ostbahnhof
01141340,0,435,Leipzig Hbf,Norddeich Mole
01140539,0,418,Leipzig Hbf,Emden Hbf
01140737,0,531,Norddeich Mole,Dresden Hbf
01141527,0,308,Stralsund Hbf,Hannover Hbf
01140817,0,308,Hannover Hbf,Stralsund Hbf
01140606,0,608,Koblenz Hbf,Ostseebad Binz
01140744,0,253,Hamburg Hbf,Ostseebad Binz
01140458,0,155,Rostock Hbf,Hamburg-Altona
01140643,5,304,Kassel-Wilhelmshöhe,Berlin Ostbahnhof
01141914,0,404,Hamburg-Altona,Wiesbaden Hbf
01141753,0,373,Dresden Hbf,Frankfurt(Main)Hbf
01141541,0,296,Leipzig Hbf,Frankfurt(Main)Hbf
